ds_name,att_name,missing_values_pct,val_pct_min,val_pct_median,val_size_min,val_size_avg,val_pct_max,distinct_values_cnt,val_pct_std,distinct_values_pct,val_size_co_of_var,val_size_max,ds_name_2,att_name_2,match
worldcitiespop.csv,City,6.10E-06,0.036954803,10.31773261,0,0.000386,0.327950441,10.31773261,0.099017643,0.686440259,0.412597927,0.01554571,gender_development.csv,Mean_Years_of_Education_Male,0
worldcitiespop.csv,City,6.10E-06,0.036954803,10.31727196,0,0.000165,0.017872328,10.31727196,6.03E-06,0.636198375,1.109080582,0.016398217,gender_development.csv,Country,0
worldcitiespop.csv,City,2.744265855,0.002618322,10.31807481,0,0.015628737,0.123796338,10.31807481,0.126877347,1.809411991,0.316766493,0.011634209,Minimum_Wage_Data.csv,Footnote,0
worldcitiespop.csv,City,6.10E-06,0.002618322,10.31736847,0,0.006875171,0.516982018,10.31736847,0.168247402,1.665605099,1.165696238,0.003610617,Minimum_Wage_Data.csv,HighValue,0
worldcitiespop.csv,City,6.10E-06,0.002618322,10.31572329,0,0.001733969,0.516982018,10.31572329,0.064729876,1.330651159,1.663310963,0.003610617,Minimum_Wage_Data.csv,Low2018,0
worldcitiespop.csv,City,3.13574279,0.208652924,10.31812307,0.015101602,0.011650713,0.102612659,10.31812307,6.03E-06,1.817395184,1.109080582,0.015144531,dataset_1_anneal.csv,chrom,0
worldcitiespop.csv,City,3.207663636,0.008022929,10.31811429,0,0.000307,0.01547555,10.31811429,0.015447655,1.811924518,0.566820953,0.016247775,dataset_1_anneal.csv,blue%2Fbright%2Fvarn%2Fclean,0
worldcitiespop.csv,City,3.045841732,0.409282919,10.31812307,0.030203204,0.023466627,0.201632101,10.31812307,6.03E-06,1.817395184,1.109080582,0.013890844,dataset_1_anneal.csv,lustre,0
worldcitiespop.csv,City,1.089594715,0.321005721,10.31811868,0.023558499,0.139971544,2.19786405,10.31811868,2.813801703,1.814659851,0.445318355,0.011383472,dataset_1_anneal.csv,condition,0
worldcitiespop.csv,City,3.225643848,0.008022929,10.31812307,0,0.000165,0.003593217,10.31812307,6.03E-06,1.817395184,1.109080582,0.016398217,dataset_1_anneal.csv,bc,0
worldcitiespop.csv,City,2.963132759,0.593862515,10.31812307,0.044096678,0.034337269,0.292729987,10.31812307,6.03E-06,1.817395184,1.109080582,0.012737453,dataset_1_anneal.csv,bt,0
worldcitiespop.csv,City,6.10E-06,0.064199328,10.31810552,0.004228449,0.084247691,2.70880437,10.31810552,2.775337216,1.806453852,0.024615792,0.017852493,dataset_1_anneal.csv,class,0
worldcitiespop.csv,City,6.10E-06,7.20662715,10.31812307,0.541845479,0.423789809,3.556410793,10.31812307,6.03E-06,1.817395184,1.109080582,0.028584048,dataset_1_anneal.csv,product_type,0
worldcitiespop.csv,City,6.10E-06,3.306380047,10.31811868,0.248270337,0.211575985,1.92457039,10.31811868,0.404308087,1.814659851,1.045886319,0.007923298,dataset_1_anneal.csv,shape,0
worldcitiespop.csv,City,6.10E-06,0.029654641,10.31706137,0,0.000165,0.014269387,10.31706137,6.03E-06,0.636198375,1.109080582,0.016398217,World_countries_env_vars.csv,Country,0
worldcitiespop.csv,City,6.10E-06,0.007204359,10.31375784,0,0.000163,0.006745996,10.31375784,0.000615,0.62637306,1.060773801,0.01634807,IMDB-Movie-Data.csv,Actors,0
worldcitiespop.csv,City,6.10E-06,0.007204359,10.31529335,0,9.38E-05,0.028086666,10.31529335,0.009942643,0.233342052,0.606822864,0.016047185,IMDB-Movie-Data.csv,Director,0
worldcitiespop.csv,City,6.10E-06,0.007204359,10.31374468,0,0.000165,0.006745996,10.31374468,0.000304,0.633742047,1.084854257,0.01634807,IMDB-Movie-Data.csv,Title,0
worldcitiespop.csv,City,6.10E-06,0.735368078,10.31811429,0.090005548,0.230954085,2.523251367,10.31811429,2.633114562,1.815117601,0.491745791,0.035855429,WA_Fn-UseC_-HR-Employee-Attrition.csv,BusinessTravel,0
worldcitiespop.csv,City,6.10E-06,2.882649498,10.31811868,0.354585615,0.346750046,2.133699452,10.31811868,0.981275266,1.816788573,0.955706398,0.027781689,WA_Fn-UseC_-HR-Employee-Attrition.csv,Gender,0
worldcitiespop.csv,City,6.10E-06,0.00038,10.26078724,0,4.33E-05,0.003598053,10.26078724,0.000627,0.115632581,0.462958925,0.015395268,song_data.csv,song_name,1
worldcitiespop.csv,City,0.006541434,0.001458928,10.31792564,0,0.049934276,3.324917312,10.31792564,1.336079923,1.797220718,3.703770649,0.21478154,movie_metadata.csv,language,0
