file1,att1,sizeDistinct1,file2,att2,sizeDistinct2,joinSize,containment1,containment2,jaccard,size1,size2,label
netflix_titles.csv,type,4,movie_metadata.csv,director_name,2346,1,0.25,0.000426257,0.000425532,6236,4932,domain
Word_University_Rank_2020.csv,University,1395,cwurData.csv,institution,1024,640,0.458781362,0.625,0.264572137,1396,2200,semantic
Netflix_Shows.csv,user_rating_score,43,gender_development.csv,Life_Expectancy_at_Birth_Female,133,17,0.395348837,0.127819549,0.096590909,1000,195,domain
Netflix_Shows.csv,user_rating_score,43,gender_development.csv,Life_Expectancy_at_Birth_Male,139,15,0.348837209,0.107913669,0.082417582,1000,195,domain
Netflix_Shows.csv,user_rating_score,43,phpRiBb0c.csv,calories,12,3,0.069767442,0.25,0.054545455,1000,77,domain
Netflix_Shows.csv,user_rating_score,43,billboard_lyrics_1964-2015.csv,Lyrics,4634,1,0.023255814,0.000215796,0.000213812,1000,5100,domain
Netflix_Shows.csv,user_rating_score,43,billboard_lyrics_1964-2015.csv,Source,4,1,0.023255814,0.25,0.021276596,1000,5100,domain
plasma_retinol.csv,VITUSE,3,ipums_la_98-small.csv,workedyr,3,1,0.333333333,0.333333333,0.166666667,315,7485,domain
IMDB-Movie-Data.csv,Votes,996,countries_and_continents.csv,GAUL,244,15,0.015060241,0.06147541,0.012096774,1000,251,domain
IMDB-Movie-Data.csv,Votes,996,countries_and_continents.csv,Dial,229,13,0.013052209,0.056768559,0.010612245,1000,251,domain
IMDB-Movie-Data.csv,Votes,996,Word_University_Rank_2020.csv,Rank_Char,145,12,0.012048193,0.082758621,0.01051709,1000,1396,domain
IMDB-Movie-Data.csv,Votes,996,song_data.csv,song_popularity,102,5,0.00502008,0.049019608,0.004553734,1000,18835,domain
IMDB-Movie-Data.csv,Votes,996,Minimum_Wage_Data.csv,HighValue,173,4,0.004016064,0.023121387,0.003421728,1000,2750,domain
IMDB-Movie-Data.csv,Votes,996,Minimum_Wage_Data.csv,LowValue,179,4,0.004016064,0.022346369,0.003404255,1000,2750,domain
IMDB-Movie-Data.csv,Votes,996,Minimum_Wage_Data.csv,Low2018,548,4,0.004016064,0.00729927,0.002590674,1000,2750,domain
IMDB-Movie-Data.csv,Votes,996,Netflix_Shows.csv,user_rating_score,43,4,0.004016064,0.093023256,0.003849856,1000,1000,domain
IMDB-Movie-Data.csv,Votes,996,Minimum_Wage_Data.csv,High2018,485,3,0.003012048,0.006185567,0.002025658,1000,2750,domain
IMDB-Movie-Data.csv,Votes,996,gender_development.csv,Mean_Years_of_Education_Male,90,3,0.003012048,0.033333333,0.002762431,1000,195,domain
IMDB-Movie-Data.csv,Votes,996,gender_development.csv,Estimated_Gross_National_Income_per_Capita_Female,183,3,0.003012048,0.016393443,0.002544529,1000,195,domain
IMDB-Movie-Data.csv,Votes,996,netflix_titles.csv,release_year,81,2,0.002008032,0.024691358,0.00185701,1000,6236,domain
IMDB-Movie-Data.csv,Votes,996,gender_development.csv,Life_Expectancy_at_Birth_Female,133,2,0.002008032,0.015037594,0.001771479,1000,195,domain
IMDB-Movie-Data.csv,Votes,996,gender_development.csv,Mean_Years_of_Education_Female,99,2,0.002008032,0.02020202,0.001826484,1000,195,domain
IMDB-Movie-Data.csv,Votes,996,gender_development.csv,Estimated_Gross_National_Income_per_Capita_Male,185,2,0.002008032,0.010810811,0.00169348,1000,195,domain
IMDB-Movie-Data.csv,Votes,996,billboard_lyrics_1964-2015.csv,Artist,2473,2,0.002008032,0.000808734,0.000576535,1000,5100,domain
IMDB-Movie-Data.csv,Votes,996,Brainsize.csv,Weight,33,1,0.001004016,0.03030303,0.000971817,1000,40,domain
IMDB-Movie-Data.csv,Votes,996,dataset_1_anneal.csv,class,5,1,0.001004016,0.2,0.000999001,1000,898,domain
IMDB-Movie-Data.csv,Votes,996,ipums_la_98-small.csv,chborn,14,1,0.001004016,0.071428571,0.000990099,1000,7485,domain
IMDB-Movie-Data.csv,Votes,996,phpRiBb0c.csv,protein,7,1,0.001004016,0.142857143,0.000997009,1000,77,domain
IMDB-Movie-Data.csv,Votes,996,billboard_lyrics_1964-2015.csv,Source,4,1,0.001004016,0.25,0.001,1000,5100,domain
Brainsize.csv,Weight,33,countries_and_continents.csv,GAUL,244,27,0.818181818,0.110655738,0.097472924,40,251,domain
Brainsize.csv,Weight,33,Word_University_Rank_2020.csv,Rank_Char,145,17,0.515151515,0.117241379,0.095505618,40,1396,domain
Brainsize.csv,Weight,33,netflix_titles.csv,title,6173,1,0.03030303,0.000161996,0.000161134,40,6236,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,ownershg,3,1,0.03030303,0.333333333,0.027777778,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,chborn,14,1,0.03030303,0.071428571,0.021276596,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,educrec,10,1,0.03030303,0.1,0.023255814,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,schltype,4,1,0.03030303,0.25,0.027027027,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,empstatg,4,1,0.03030303,0.25,0.027027027,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,labforce,3,1,0.03030303,0.333333333,0.027777778,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,occ1950,182,1,0.03030303,0.005494505,0.004651163,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,ind1950,132,1,0.03030303,0.007575758,0.006060606,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,classwkg,3,1,0.03030303,0.333333333,0.027777778,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,wkswork2,7,1,0.03030303,0.142857143,0.025,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,hrswork2,9,1,0.03030303,0.111111111,0.023809524,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,yrlastwk,8,1,0.03030303,0.125,0.024390244,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,workedyr,3,1,0.03030303,0.333333333,0.027777778,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,migrat5g,6,1,0.03030303,0.166666667,0.025641026,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,migplac5,50,1,0.03030303,0.02,0.012048193,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,vetstat,3,1,0.03030303,0.333333333,0.027777778,40,7485,domain
Brainsize.csv,Weight,33,ipums_la_98-small.csv,tranwork,11,1,0.03030303,0.090909091,0.022727273,40,7485,domain
Brainsize.csv,Weight,33,phpRiBb0c.csv,calories,12,1,0.03030303,0.083333333,0.022222222,40,77,domain
countries_and_continents.csv,WMO,214,wikipedia-iso-country-codes.csv,Alpha-2_code,246,153,0.714953271,0.62195122,0.332608696,251,246,semantic
countries_and_continents.csv,WMO,214,netflix_titles.csv,rating,23,2,0.009345794,0.086956522,0.008438819,251,6236,domain
countries_and_continents.csv,WMO,214,song_data.csv,song_name,13070,2,0.009345794,0.000153022,0.000150557,251,18835,domain
countries_and_continents.csv,WMO,214,Netflix_Shows.csv,rating,13,2,0.009345794,0.153846154,0.008810573,251,1000,domain
countries_and_continents.csv,WMO,214,netflix_titles.csv,title,6173,1,0.004672897,0.000161996,0.000156568,251,6236,domain
countries_and_continents.csv,WMO,214,top10s.csv,title,584,1,0.004672897,0.001712329,0.001253133,251,603,domain
countries_and_continents.csv,WMO,214,movies.csv,company,2179,1,0.004672897,0.000458926,0.000417885,251,6820,domain
countries_and_continents.csv,WMO,214,movies.csv,country,57,1,0.004672897,0.01754386,0.003690037,251,6820,domain
countries_and_continents.csv,WMO,214,movies.csv,name,6731,1,0.004672897,0.000148566,0.000143988,251,6820,domain
countries_and_continents.csv,WMO,214,dataSpotify.csv,artist,1343,1,0.004672897,0.000744602,0.000642261,251,2017,domain
countries_and_continents.csv,WMO,214,movie_metadata.csv,country,64,1,0.004672897,0.015625,0.003597122,251,4932,domain
countries_and_continents.csv,WMO,214,dataset_1_anneal.csv,family,3,1,0.004672897,0.333333333,0.004608295,251,898,domain
movies.csv,writer,4199,movie_metadata.csv,director_name,2346,739,0.175994284,0.315004263,0.112910619,6820,4932,domain
movies.csv,writer,4199,movie_metadata.csv,actor_1_name,2036,81,0.019290307,0.03978389,0.012991179,6820,4932,domain
movies.csv,writer,4199,dataSpotify.csv,artist,1343,4,0.000952608,0.002978407,0.000721761,6820,2017,domain
movies.csv,writer,4199,movie_metadata.csv,movie_title,4808,4,0.000952608,0.000831947,0.000444099,6820,4932,domain
movies.csv,writer,4199,Netflix_Shows.csv,title,496,1,0.000238152,0.002016129,0.000212993,6820,1000,domain
IMDB-Movie-Data.csv,Year,23,netflix_titles.csv,release_year,81,11,0.47826087,0.135802469,0.105769231,1000,6236,semantic
IMDB-Movie-Data.csv,Year,23,movies.csv,director,2759,4,0.173913043,0.001449801,0.001437815,1000,6820,domain
IMDB-Movie-Data.csv,Year,23,movie_metadata.csv,director_name,2346,4,0.173913043,0.00170503,0.001688476,1000,4932,domain
IMDB-Movie-Data.csv,Year,23,netflix_titles.csv,director,3302,2,0.086956522,0.000605694,0.000601504,1000,6236,domain
IMDB-Movie-Data.csv,Year,23,netflix_titles.csv,description,6226,2,0.086956522,0.000321234,0.000320051,1000,6236,domain
IMDB-Movie-Data.csv,Year,23,movies.csv,released,2403,2,0.086956522,0.000832293,0.000824402,1000,6820,semantic
IMDB-Movie-Data.csv,Year,23,movies.csv,writer,4199,2,0.086956522,0.000476304,0.000473709,1000,6820,domain
IMDB-Movie-Data.csv,Year,23,movies.csv,name,6731,1,0.043478261,0.000148566,0.00014806,1000,6820,domain
IMDB-Movie-Data.csv,Year,23,movies.csv,star,2504,1,0.043478261,0.000399361,0.000395726,1000,6820,domain
IMDB-Movie-Data.csv,Year,23,movie_metadata.csv,movie_title,4808,1,0.043478261,0.000207987,0.000206996,1000,4932,domain
IMDB-Movie-Data.csv,Year,23,gender_development.csv,Estimated_Gross_National_Income_per_Capita_Female,183,1,0.043478261,0.005464481,0.004854369,1000,195,domain
